code,transcription
o619,"Försök till igångsättande av värkarbetet, ospecificerat"
o62,Värkrubbningar
o620,Primär värksvaghet
o621,Sekundär värksvaghet
o622,Annan och icke specificerad uterin värksvaghet
o623,Störtförlossning
o624,"Hypertont, okoordinerat värkarbete"
o628,Andra specificerade värkrubbningar
o629,"Värkrubbning, ospecificerad"
o63,Utdragen förlossning
o630,Förlängt öppningsskede
o631,Förlängt utdrivningsskede
o632,"Fördröjd förlossning av andra tvillingen, trillingen etc"
o639,"Förlängt värkarbete, ospecificerat"
o64,Förlossningshinder orsakat av onormalt fosterläge och felaktig fosterbjudning
o640,Förlossningshinder orsakat av ofullständig rotation av fosterhuvudet
o641,Förlossningshinder orsakat av sätesbjudning
o642,Förlossningshinder orsakat av ansiktsbjudning
o643,Förlossningshinder orsakat av pannbjudning
o644,Förlossningshinder orsakat av snedläge och tvärläge
o645,Förlossningshinder orsakat av på flera sätt onormal bjudning
o648,Förlossningshinder orsakat av annat specificerat onormalt fosterläge och annan specificerad onormal fosterbjudning
o649,"Förlossningshinder orsakat av onormalt fosterläge och onormal fosterbjudning, ospecificerat"
o65,Förlossningshinder orsakat av abnormitet i moderns bäcken
o650,Förlossningshinder orsakat av bäckendeformitet
o651,Förlossningshinder orsakat av allmänt förträngt bäcken
o652,Förlossningshinder orsakat av förträngd bäckeningång
o653,Förlossningshinder orsakat av förträngd bäckenutgång och förträngt mittparti
o654,"Förlossningshinder orsakat av missförhållande mellan bäcken- och fosterstorlek, ospecificerat"
o655,Förlossningshinder orsakat av abnormitet i moderns bäckenorgan
o658,Förlossningshinder orsakat av andra specificerade bäckenabnormiteter hos modern
o659,"Förlossningshinder orsakat av bäckenabnormitet hos modern, ospecificerat"
o66,Annat förlossningshinder
o660,Förlossningshinder på grund av skulderdystoci
o661,Förlossningshinder på grund av tvillingkollision
o662,Förlossningshinder på grund av ovanligt stort foster
o663,Förlossningshinder på grund av andra specificerade abnormiteter hos fostret
o664,"Misslyckat försök till vaginal förlossning, ospecificerat"
o665,"Misslyckat försök att förlösa med tång eller sugklocka, ospecificerat"
o668,Annat specificerat förlossningshinder
o669,"Förlossningshinder, ospecificerat"
o67,"Värkarbete och förlossning komplicerade av blödning under förlossningsarbetet, som ej klassificeras annorstädes"
o670,Blödning under förlossningen ledande till koagulationsrubbning
o678,Annan blödning under förlossningen
o679,"Blödning under förlossningen, ospecificerad"
o68,Värkarbete och förlossning komplicerade av fetal distress (syrebrist hos fostret)
o680,Värkarbete och förlossning komplicerade av onormal hjärtfrekvens hos fostret
o681,Värkarbete och förlossning komplicerade av mekonium i fostervattnet
o682,Värkarbete och förlossning komplicerade av onormal hjärtfrekvens hos fostret med mekonium i fostervattnet
o683,Värkarbete och förlossning komplicerade av biokemiska tecken på fetal distress
o688,Värkarbete och förlossning komplicerade av andra specificerade tecken på fetal distress
o689,"Värkarbete och förlossning komplicerade av fosterasfyxi, ospecificerat"
o69,Värkarbete och förlossning med navelsträngskomplikationer
o690,Framfall av navelsträngen
o691,Navelsträngen runt halsen med kompression
o692,Annan navelsträngsomslingring
o693,Kort navelsträng
o694,Vasa praevia
o695,Kärlskada i navelsträngen
o698,Andra specificerade navelsträngskomplikationer
o699,"Navelsträngskomplikation, ospecificerad"
o70,Skador i bäckenbotten under förlossningen
o700,Perinealbristning av första graden
o701,Perinealbristning av andra graden
o702,Perinealbristning av tredje graden
o702a,Perinealbristning av 3:e graden; partiell sfinkterruptur
o702b,Perinealbristning av 3:e graden; total sfinkterruptur
o702x,Perinealbristning av 3:e graden; ospecificerad
o703,Perinealbristning av fjärde graden
o709,"Perinealbristning under förlossningen, ospecificerad"
o71,Andra förlossningsskador på modern
o710,Uterusruptur före förlossningsarbetets början
o711,Uterusruptur under värkarbetet
o712,Inversion av livmodern efter förlossningen
o713,Obstetrisk skada på cervix
o714,Isolerad hög obstetrisk laceration i vagina
o715,Andra obstetriska skador på bäckenorgan
o716,Obstetrisk skada på bäckenets leder och ligament
o717,Obstetriskt bäckenhematom
o718,Annan specificerad obstetrisk skada
o719,"Obstetrisk skada, ospecificerad"
o72,Blödning i efterbördsskedet
o720,Blödning i efterbördsskedet
o721,Andra blödningar omedelbart efter förlossningen
o721a,Atonisk blödning efter placentaavgång
o721b,Blödning i efterbördsskedet p g a förlossningsskada
o721x,"Blödning omedelbart efter förlossningen, UNS"
o722,Fördröjd och sekundär blödning efter förlossningen
o723,Blödningar i efterbördsskedet ledande till koagulationsrubbning
o73,Kvarhållen moderkaka eller kvarhållna hinnor utan blödning
o730,Kvarhållen moderkaka utan blödning
o731,Kvarhållna delar av moderkaka och hinnor utan blödning
o74,Komplikationer vid anestesi under värkarbete och förlossning
o740,Aspirationspneumonit vid anestesi under förlossning
o741,Andra lungkomplikationer vid anestesi under förlossning
o742,Hjärtkomplikationer vid anestesi under förlossning
o743,Centralnervösa komplikationer vid anestesi under förlossning
o744,Toxisk reaktion vid lokalanestesi under förlossning
o745,Huvudvärk orsakad av spinal- och epiduralanestesi under förlossning
o746,Andra specificerade komplikationer av spinal- och epiduralanestesi under förlossning
o747,Misslyckad eller svårgenomförd intubation under förlossning
o748,Andra specificerade komplikationer vid anestesi under värkarbete och förlossning
o749,"Komplikation vid anestesi under värkarbete och förlossning, ospecificerad"
o75,Andra komplikationer till värkarbete och förlossning som ej klassificeras annorstädes
o750,Uttröttad moder under värkarbete och förlossning
o751,Chock under eller efter värkarbete och förlossning
o752,Feber under värkarbete som ej klassificeras annorstädes
o753,Annan infektion under värkarbete
o754,Andra komplikationer till obstetriska ingrepp
o755,Fördröjd förlossning efter artificiell hinnsprängning
o756,Fördröjd förlossning efter spontan eller icke specificerad hinnbristning
o756a,Vattenavgång utan sammandragningar i fullgången tid; förlossningen startar spontant
o756b,Vattenavgång utan sammandragningar i fullgången tid; förlossningen induceras
o756x,Fördröjd förlossning UNS efter spontan eller icke specificerad hinnbristning
o757,Vaginal förlossning efter tidigare kejsarsnitt
o758,Andra specificerade komplikationer till värkarbete och förlossning
o759,"Komplikation till värkarbete och förlossning, ospecificerad"
o80,Spontanförlossning vid enkelbörd
o800,Spontan hjässbjudning
o800a,"Spontanförlossning, enkelbörd, framstupa kronbjudning"
o800b,"Spontanförlossning, enkelbörd, vidöppen hjässbjudning"
o800w,"Spontanförlossning, enkelbörd, annan specificerad huvudbjudning"
o800x,"Spontanförlossning, enkelbörd, hjässbjudning UNS"
o801,Spontan sätesbjudning
o808,"Annan spontanförlossning, enkelbörd"
o809,"Spontanförlossning, enkelbörd, ospecificerad"
o81,Enkelbördsförlossning med tång eller sugklocka
o810,Låg tång
o811,Mellanhög tång
o812,Mellanhög tång med rotation
o813,Annan och icke specificerad tångförlossning
o813a,"Tångförlossning, framstupa kronbjudning"
o813b,"Tångförlossning, vidöppen hjässbjudning"
o813w,"Tångförlossning, annan specificerad huvudbjudning"
o813x,"Tångförlossning, ospecificerad bjudning"
o814,Vakuumextraktionsförlossning
o814a,"Vakuumextraktionsförlossning, framstupa kronbjudning"
o814b,"Vakuumextraktionsförlossning, vidöppen hjässbjudning"
o814w,"Vakuumextraktionsförlossning, annan specificerad huvudbjudning"
o814x,"Vakuumextraktionsförlossning, ospecificerad bjudning"
o815,Förlossning med kombination av tång och vakuumextraktion
o82,"Kejsarsnittsförlossning, enkelbörd"
o820,Förlossning med elektivt kejsarsnitt
o821,Förlossning med akut kejsarsnitt
o822,Förlossning med kejsarsnitt och samtidig hysterektomi
o828,Annan enkelbördsförlossning med kejsarsnitt
o829,"Förlossning med kejsarsnitt, ospecificerad"
o83,Annan enkelbördsförlossning med förlossningshjälp
o830,Sätesextraktion
o831,Annan sätesförlossning med förlossningshjälp
o832,Annan förlossning med obstetriskt ingrepp
o833,Förlossning av viabelt foster vid abdominell graviditet
o834,Destruktiv operation för att kunna fullborda förlossning
o838,Annan specificerad enkelbördsförlossning med förlossningshjälp
o839,"Förlossningshjälp vid enkelbördsförlossning, ospecificerad"
o84,Förlossning vid flerbörd
o840,"Flerbördsförlossning, spontan"
o841,"Flerbördsförlossning, barnen förlösta med tång eller vakuumextraktion"
o842,"Flerbördsförlossning, barnen förlösta med kejsarsnitt"
o848,Annan specificerad flerbördsförlossning
o849,"Flerbördsförlossning, ospecificerad"
o85,Barnsängsfeber
o859,Barnsängsfeber
o86,Andra infektioner under barnsängstiden
o860,Infektion i sår efter obstetriskt ingrepp
o861,Annan infektion i könsorganen efter förlossning
o862,Urinvägsinfektion efter förlossning
o863,Andra specificerade infektioner i urin- och könsorganen efter förlossning
o864,Feber av okänd orsak efter förlossning
o868,Andra specificerade infektioner under barnsängstiden
o87,Venösa komplikationer under barnsängstiden
o870,Ytlig tromboflebit under barnsängstiden
o871,Djup ventrombos under barnsängstiden
o872,Hemorrojder under barnsängstiden
o873,Cerebral ventrombos under barnsängstiden
o878,Andra specificerade venösa komplikationer under barnsängstiden
o879,"Venös komplikation under barnsängstiden, ospecificerad"
o88,Obstetrisk emboli
o880,Obstetrisk luftemboli
o881,Fostervattenemboli
o882,Obstetrisk emboli på grund av blodpropp
o883,Obstetrisk septisk emboli
o888,Annan specificerad obstetrisk emboli
o89,Komplikationer vid anestesi under barnsängstiden
o890,Lungkomplikationer vid anestesi under barnsängstiden
o891,Hjärtkomplikationer vid anestesi under barnsängstiden
o892,Centralnervösa komplikationer vid anestesi under barnsängstiden
o893,Toxisk reaktion vid lokalanestesi under barnsängstiden
o894,Huvudvärk orsakad av spinal- och epiduralanestesi under barnsängstiden
o895,Andra komplikationer vid spinal- och epiduralanestesi under barnsängstiden
o896,Misslyckad eller svårgenomförd intubation under barnsängstiden
o898,Andra specificerade komplikationer vid anestesi under barnsängstiden
o899,"Komplikation vid anestesi under barnsängstiden, ospecificerad"
o90,Komplikationer under barnsängstiden som ej klassificeras annorstädes
o900,Sårruptur efter kejsarsnitt
o901,Ruptur av obstetriskt sår i perineum
o902,Hematom i obstetriskt sår
o903,Kardiomyopati under barnsängstiden
o904,Akut njursvikt efter förlossningen
o905,Tyreoidit efter förlossningen
o908,Andra specificerade komplikationer under barnsängstiden som ej klassificeras annorstädes
o909,"Komplikation under barnsängstiden, ospecificerad"
o91,Infektioner i bröstkörtel och bröstvårta i samband med barnsbörd
o910,Infektion i bröstvårta i samband med barnsbörd
o911,Abcess i bröst i samband med barnsbörd
o911a,Purulent mastit i samband med barnsbörd
o911b,Bröstböld i samband med barnsbörd
o911x,"Abscess i bröst i samband med barnsbörd, ospecificerad"
o912,Icke varig mastit i samband med barnsbörd
o92,Andra bröstkörtelsjukdomar och rubbningar i laktationen i samband med barnsbörd
o920,Indragen bröstvårta i samband med barnsbörd
o921,Sprucken bröstvårta i samband med barnsbörd
o922,Annan och icke specificerad sjukdom i bröstkörtel i samband med barnsbörd
o923,Utebliven mjölkproduktion
o924,Sviktande mjölkproduktion
o925,Undertryckt mjölkproduktion
o926,Galaktorré
o927,Andra och icke specificerade laktationssjukdomar
o94,"Sena besvär av komplikation till graviditet, förlossning och barnsängstid"
o949,"Sena besvär av komplikation till graviditet, förlossning och barnsängstid"
o95,Obstetrisk död av icke specificerad orsak
o959,Obstetrisk död av icke specificerad orsak
o96,Död av obstetrisk orsak som inträffar mer än 42 dagar men mindre än ett år efter förlossningen
o969,Död av obstetrisk orsak som inträffar mer än 42 dagar men mindre än ett år efter förlossningen
o97,Död som följdtillstånd efter direkta obstetriska orsaker
o979,Död som följdtillstånd efter direkta obstetriska orsaker
o98,"Infektionssjukdomar och parasitsjukdomar hos modern som klassificeras annorstädes men som komplicerar graviditet, förlossning och barnsängstid"
o980,"Tuberkulos hos modern som komplicerar graviditet, förlossning och barnsängstid"
o981,"Syfilis hos modern som komplicerar graviditet, förlossning och barnsängstid"
o982,"Gonorré hos modern som komplicerar graviditet, förlossning och barnsängstid"
o983,"Andra, främst sexuellt överförda, infektioner hos modern som komplicerar graviditet, förlossning och barnsängstid"
o984,"Virushepatit hos modern som komplicerar graviditet, förlossning och barnsängstid"
o984a,"Hepatit A hos modern, som komplikation till graviditet, förlossning och barnsängstid"
o984b,"Hepatit B hos modern, som komplikation till graviditet, förlossning och barnsängstid"
o984c,"Hepatit C hos modern, som komplikation till graviditet, förlossning och barnsängstid"
o984w,"Annan specificerad hepatit hos modern, som komplikation till graviditet, förlossning och barnsängstid"
o984x,"Hepatit UNS hos modern, som komplikation till graviditet, förlossning och barnsängstid"
o985,"Andra virussjukdomar hos modern som komplicerar graviditet, förlossning och barnsängstid"
o986,"Protozosjukdomar hos modern som komplicerar graviditet, förlossning och barnsängstid"
o988,"Andra specificerade infektionssjukdomar och parasitsjukdomar hos modern som komplicerar graviditet, förlossning och barnsängstid"
o988a,"Grupp B streptokock-syndrom hos modern, som komplikation till graviditet, förlossning och barnsängstid"
o988w,"Andra specificerade infektions- och parasitsjukdomar hos modern, som komplikation till graviditet, förlossning och barnsängstid"
o989,"Ej specificerad infektionssjukdom och parasitsjukdom hos modern som komplicerar graviditet, förlossning och barnsängstid"
o99,"Andra sjukdomar hos modern som klassificeras annorstädes men som komplicerar graviditet, förlossning och barnsängstid"
o990,"Anemi hos modern som komplicerar graviditet, förlossning och barnsängstid"
o991,"Andra sjukdomar i blod och blodbildande organ samt vissa rubbningar i immunsystemet hos modern som komplicerar graviditet, förlossning och barnsängstid"
o992,"Endokrina sjukdomar, nutritionsrubbningar och ämnesomsättningssjukdomar hos modern som komplicerar graviditet, förlossning och barnsängstid"
o993,"Psykiska störningar och sjukdomar i nervsystemet hos modern som komplicerar graviditet, förlossning och barnsängstid"
o994,"Sjukdomar i cirkulationsorganen hos modern som komplicerar graviditet, förlossning och barnsängstid"
o995,"Sjukdomar i andningsorganen hos modern som komplicerar graviditet, förlossning och barnsängstid"
o996,"Sjukdomar i matsmältningsorganen hos modern som komplicerar graviditet, förlossning och barnsängstid"
o997,"Sjukdomar i hud och underhudsvävnad hos modern som komplicerar graviditet, förlossning och barnsängstid"
o998,"Andra specificerade sjukdomar och sjukdomstillstånd hos modern som komplicerar graviditet, förlossning och barnsängstid"
p00,"Foster och nyfödd som påverkats av tillstånd hos modern, vilket ej behöver ha samband med den aktuella graviditeten"
p000,Foster och nyfödd som påverkats av högt blodtryck hos modern
p001,Foster och nyfödd som påverkats av njursjukdom och urinvägssjukdom hos modern
p002,Foster och nyfödd som påverkats av infektionssjukdomar och parasitsjukdomar hos modern
p003,Foster och nyfödd som påverkats av andra sjukdomar i cirkulationsorgan och andningsorgan hos modern
p004,Foster och nyfödd som påverkats av nutritionsrubbningar hos modern
p005,Foster och nyfödd som påverkats av skada hos modern
p006,Foster och nyfödd som påverkats av kirurgiskt ingrepp på modern
p007,Foster och nyfödd som påverkats av andra medicinska ingrepp eller behandlingar av modern som ej klassificeras annorstädes
p008,Foster och nyfödd som påverkats av andra specificerade tillstånd hos modern
p008a,Foster eller nyfödd som påverkats av systemisk lupus erythematosus hos modern
p008b,Neonatal transplacental herpes gestationis
p008c,Neonatal transplacental pemphigus vulgaris
p008w,Foster och nyfödd som påverkats av andra tillstånd hos modern
p009,Foster och nyfödd som påverkats av icke specificerad sjukdom hos modern
p01,Foster och nyfödd som påverkats av graviditetskomplikationer hos modern
p010,Foster och nyfödd som påverkats av cervixinsufficiens
p011,Foster och nyfödd som påverkats av för tidig hinnbristning
p012,Foster och nyfödd som påverkats av oligohydramnion
p013,Foster och nyfödd som påverkats av polyhydramnios
p014,Foster och nyfödd som påverkats av extrauteringraviditet
p015,Foster och nyfödd som påverkats av flerbarnsgraviditet
p016,Foster och nyfödd som påverkats av moderns död
p017,Foster och nyfödd som påverkats av felläge konstaterat före värkarbetet
p018,Foster och nyfödd som påverkats av andra specificerade graviditetskomplikationer
p019,Foster och nyfödd som påverkats av icke specificerad graviditetskomplikation hos modern
p02,"Foster och nyfödd som påverkats av komplikationer från moderkaka, navelsträng och fosterhinnor"
p020,Foster och nyfödd som påverkats av placenta praevia
p021,Foster och nyfödd som påverkats av andra former av placentaavlossning och placentablödning
p022,Foster och nyfödd som påverkats av andra och icke specificerade morfologiska och funktionella rubbningar hos placenta
p023,Foster och nyfödd som påverkats av placentalt transfusionssyndrom
p024,Foster och nyfödd som påverkats av framfall av navelsträngen
p025,Foster och nyfödd som påverkats av annan kompression av navelsträngen
p026,Foster och nyfödd som påverkats av andra och icke specificerade tillstånd hos navelsträngen
p027,Foster och nyfödd som påverkats av korioamnionit
p028,Foster och nyfödd som påverkats av andra specificerade sjukliga tillstånd i fosterhinnorna
p029,Foster och nyfödd som påverkats av icke specificerat sjukligt tillstånd i fosterhinnorna
p03,Foster och nyfödd som påverkats av andra komplikationer under värkarbete och förlossning
p030,Foster och nyfödd som påverkats av sätesförlossning och sätesextraktion
p031,"Foster och nyfödd som påverkats av andra onormala bjudningar, fellägen eller disproportion mellan bäcken och fosterstorlek"
p032,Foster och nyfödd som påverkats av tångförlossning
p033,Foster och nyfödd som påverkats av förlossning med vakuumextraktion
p034,Foster och nyfödd som påverkats av kejsarsnittsförlossning
p035,Foster och nyfödd som påverkats av störtförlossning
p036,Foster och nyfödd som påverkats av värkrubbningar
p038,Foster och nyfödd som påverkats av andra specificerade komplikationer under värkarbete och förlossning
p039,Foster och nyfödd som påverkats av icke specificerad komplikation till värkarbete och förlossning
p04,Foster och nyfödd som påverkats av skadlig inverkan överförd genom placenta eller bröstmjölk
p040,"Foster och nyfödd som påverkats av narkosmedel och smärtstillande medel som givits till modern under graviditet, värkarbete och förlossning"
p041,Foster och nyfödd som påverkats av annat läkemedel som givits till modern
p041a,Foster och nyfödd som påverkats av cytostatika
p041w,Foster och nyfödd som påverkats av andra läkemedel
p042,Foster och nyfödd som påverkats av tobaksbruk hos modern
p043,Foster och nyfödd som påverkats av alkoholbruk hos modern
p044,Foster och nyfödd som påverkats av bruk av tillvänjande droger hos modern
p045,Foster och nyfödd som påverkats av tillsats av kemiska substanser i moderns föda
p046,Foster och nyfödd som påverkats av exponering hos modern för kemiska miljögifter
p048,Foster och nyfödd som påverkats av annan specificerad skadlig inverkan på modern
p049,Foster och nyfödd som påverkats av icke specificerad skadlig inverkan på modern
p05,Tillväxthämning under fosterlivet och undernäring hos fostret
p050,För lätt i förhållande till graviditetstiden
p051,För liten i förhållande till graviditetstiden
p052,Undernäring hos foster utan uppgift om för låg vikt eller för kort kroppslängd i förhållande till graviditetstiden
p059,Icke specificerad retarderad fostertillväxt
p07,Rubbningar i samband med underburenhet och låg födelsevikt som ej klassificeras annorstädes
p070,Extremt låg födelsevikt
p070a,"Extremt låg födelsevikt, mindre än 500 g"
p070b,"Extremt låg födelsevikt, 500?749 g"
p070c,"Extremt låg födelsevikt, 750?999 g"
p070x,"Extremt låg födelsevikt, mindre än 1000 g, exakt vikt ej angiven"
p071,Annan låg födelsevikt
p071a,"Annan låg födelsevikt, 1000?1499 g"
p071b,"Annan låg födelsevikt, 1500?1999 g"
p071c,"Annan låg födelsevikt, 2000?2499 g"
p071x,"Annan låg födelsevikt, 1000?2499 g, exakt vikt ej angiven"
p072,Höggradigt underburet barn
p073,Andra underburna barn
p08,Rubbningar i samband med överburenhet och hög födelsevikt
p080,Höggradigt överburet barn
p081,"Andra nyfödda, för tunga i förhållande till graviditetstiden"
p082,"Överburet barn, ej för tungt i förhållande till graviditetstiden"
p10,Intrakraniell skada och blödning orsakad av förlossningsskada
p100,Subdural blödning orsakad av förlossningsskada
p101,Cerebral blödning orsakad av förlossningsskada
p102,Intraventrikulär blödning orsakad av förlossningsskada
p103,Subaraknoidalblödning orsakad av förlossningsskada
p104,Tentoriumbristning orsakad av förlossningsskada
p108,Andra specificerade intrakraniella skador och blödningar orsakade av förlossningsskada
p109,Icke specificerad intrakraniell skada och blödning orsakad av förlossningsskada
p11,Andra förlossningsskador i centrala nervsystemet
p110,Cerebralt ödem orsakat av förlossningsskada
p111,Andra specificerade förlossningsskador i hjärnan
p112,Icke specificerad förlossningsskada i hjärnan
p113,Förlossningsskada på facialisnerven
p114,Förlossningsskada på andra specificerade kranialnerver
p115,Förlossningsskada på kotpelaren och i ryggmärgen
p119,"Förlossningsskada i centrala nervsystemet, ospecificerad"
p12,Förlossningsskada på huvudet
p120,Kefalhematom orsakat av förlossningsskada
p121,Fostersvulst orsakad av förlossningsskada
p122,Epikraniell subaponeurotisk blödning orsakad av förlossningsskada
p123,Ytligt hematom i hårbotten orsakad av förlossningsskada
p124,Skada på huvudet i samband med diagnostiska ingrepp under förlossning
p128,Andra specificerade förlossningsskador på huvudet
p129,"Förlossningsskada på huvudet, ospecificerad"
p13,Förlossningsskada på skelettet
p130,Skallfraktur orsakad av förlossningsskada
p131,Andra förlossningsskador på skallens ben
p132,Förlossningsskada på femur
p133,Förlossningsskada på andra rörben
p134,Klavikelfraktur orsakad av förlossningsskada
p138,Förlossningsskador på andra specificerade delar av skelettet
p139,"Förlossningsskada på skelettet, ospecificerad"
p14,Förlossningsskada i perifera nervsystemet
p140,Erbs pares orsakad av förlossningsskada
p141,Klumpkes pares orsakad av förlossningsskada
p142,Frenikuspares orsakad av förlossningsskada
p143,Andra förlossningsskador på brakialplexus
p148,Förlossningsskador i andra specificerade delar av perifera nervsystemet
p149,"Förlossningsskada i perifera nervsystemet, ospecificerad"
p15,Andra förlossningsskador
p150,Förlossningsskada på levern
p151,Förlossningsskada på mjälten
p152,Förlossningsskada på sternokleidomastoideusmuskeln
p153,Ögonskada orsakad av förlossning
p154,Ansiktsskada orsakad av förlossning
p155,Förlossningsskada på yttre könsorgan
p156,Subkutan fettnekros orsakad av förlossningsskada
p158,Andra specificerade förlossningsskador
p159,"Förlossningsskada, ospecificerad"
p20,Intrauterin hypoxi (syrebrist före förlossningen)
p200,Intrauterin hypoxi först observerad före värkarbetets början
p201,Intrauterin hypoxi först observerad under värkarbetet och förlossningen
p209,"Intrauterin hypoxi, ospecificerad"
p21,Syrebrist vid förlossningen
p210,Svår asfyxi vid förlossningen
p211,Lätt och måttlig asfyxi vid förlossningen
p211a,"Asfyxi hos nyfödd, lätt, kortvarig, Apgar 1-min <4"
p211b,"Asfyxi hos nyfödd, måttlig, medellång, Apgar 5-minuter < 4"
p219,"Asfyxi vid förlossningen, ospecificerad"
p22,Respiratorisk distress (andningssvårigheter) hos nyfödd
p220,Respiratory distress syndrome hos nyfödd
p221,Övergående takypné hos nyfödd
p228,Annan specificerad respiratorisk distress hos nyfödd
p229,Icke specificerad respiratorisk distress hos nyfödd
p23,Medfödd pneumoni (lunginflammation)
p230,Medfödd pneumoni orsakad av virus
p231,Medfödd pneumoni orsakad av klamydia
p232,Medfödd pneumoni orsakad av stafylokocker
p233,Medfödd pneumoni orsakad av streptokocker grupp B
p234,Medfödd pneumoni orsakad av Escherichia coli
p235,Medfödd pneumoni orsakad av Pseudomonas
p236,Medfödd pneumoni orsakad av andra specificerade bakterier
p238,Medfödd pneumoni orsakad av andra specificerade organismer
p239,"Medfödd pneumoni, ospecificerad"
p24,Aspirationssyndrom i nyföddhetsperioden
p240,Mekoniumaspiration hos nyfödd
p241,Aspiration av fostervatten och slem hos nyfödd
p242,Aspiration av blod hos nyfödd
p243,Aspiration av mjölk och uppkräkt maginnehåll hos nyfödd
p248,Andra specificerade aspirationssyndrom hos nyfödd
p249,"Aspirationssyndrom hos nyfödd, ospecificerat"
p25,Interstitiellt emfysem och besläktade tillstånd i den perinatala perioden
p250,Interstitiellt emfysem under den perinatala perioden
p251,Pneumotorax under den perinatala perioden
p252,Pneumomediastinum under den perinatala perioden
p253,Pneumoperikardium under den perinatala perioden
p258,Andra specificerade tillstånd besläktade med interstitiellt emfysem under den perinatala perioden
p26,Lungblödning under den perinatala perioden
p260,Blödning i trakea och bronker under den perinatala perioden
p261,Massiv lungblödning under den perinatala perioden
p268,Andra specificerade lungblödningar under den perinatala perioden
p269,Icke specificerad lungblödning under den perinatala perioden
p27,Kronisk sjukdom i andningsorganen under den perinatala perioden
p270,Wilson-Mikitys syndrom
p271,Bronkopulmonell dysplasi under den perinatala perioden
p278,Andra specificerade kroniska sjukdomar i andningsorganen under den perinatala perioden
p279,Icke specificerad kronisk sjukdom i andningsorganen under den perinatala perioden
p28,Andra andningsrubbningar under den perinatala perioden
p280,Primär atelektas hos nyfödd
p281,Annan och icke specificerad atelektas hos nyfödd
p282,Cyanosattacker hos nyfödd
p283,Primär sömnapné hos nyfödd
p284,Annan apné hos nyfödd
p285,Frånvaro av andning hos nyfödd
p288,Annat specificerat tillstånd i andningsorganen hos nyfödd
p289,"Sjukdomstillstånd i andningsorganen hos nyfödd, ospecificerat"
p29,Sjukdomar i cirkulationsorganen under den perinatala perioden
p290,Hjärtsvikt hos nyfödd
p291,Hjärtdysrytmi hos nyfödd
p292,Hypertoni hos nyfödd
p293,Kvardröjande fostercirkulation
p293a,Fördröjd slutning av ductus arteriosus (symtomgivande)
p293b,Persisterande pulmonell hypertension
p294,Övergående ischemi i hjärtmuskeln hos nyfödd
p298,Andra specificerade sjukdomar i cirkulationsorganen under den perinatala perioden
p299,Icke specificerad sjukdom i cirkulationsorganen under den perinatala perioden
p35,Medfödda virussjukdomar
p350,Medfött rubellasyndrom
p351,Medfödd cytomegalvirusinfektion
p352,Medfödd infektion med herpes simplex-virus
p353,Medfödd virushepatit
p358,Andra specificerade medfödda virussjukdomar
p359,"Medfödd virussjukdom, ospecificerad"
p36,Bakteriell septikemi hos nyfödd
p360,Septikemi hos nyfödd orsakad av streptokocker grupp B
p361,Septikemi hos nyfödd orsakad av andra och icke specificerade streptokocker
p362,Septikemi hos nyfödd orsakad av Staphylococcus aureus
p363,Septikemi hos nyfödd orsakad av andra och icke specificerade stafylokocker
p364,Septikemi hos nyfödd orsakad av Escherichia coli
p365,Septikemi hos nyfödd orsakad av anaerober
p368,Annan specificerad bakteriell septikemi hos nyfödd
p369,Icke specificerad bakteriell septikemi hos nyfödd
p37,Andra medfödda infektionssjukdomar och parasitsjukdomar
p370,Medfödd tuberkulos
p371,Medfödd toxoplasmos
p372,Disseminerad listerios hos nyfödd
p373,Medfödd malaria orsakad av Plasmodium falciparum
p374,Annan medfödd malaria
p375,Medfödd candidainfektion
p378,Andra specificerade medfödda infektionssjukdomar och parasitsjukdomar
p379,"Medfödd infektionssjukdom och parasitsjukdom, ospecificerad"
p38,Navelinfektion hos nyfödd med eller utan lätt blödning
p389,Navelinfektion hos nyfödd med eller utan lätt blödning
p39,Andra infektioner specifika för den perinatala perioden
p390,Infektiös bröstkörtelinflammation hos nyfödd
p391,Konjunktivit och dakryocystit hos nyfödd
p392,"Infektion hos nyfödd, förvärvad via fostervattnet, som ej klassificeras annorstädes"
p393,Urinvägsinfektion hos nyfödd
p394,Hudinfektion hos nyfödd
p398,Andra specificerade infektioner specifika för den perinatala perioden
p399,"Infektion specifik för den perinatala perioden, ospecificerad"
p50,Blödning hos foster
p500,Fetal blodförlust från vasa praevia
p501,Fetal blodförlust från brusten navelsträng
p502,Fetal blodförlust från placenta
p503,Fetal blödning till tvilling
p504,Fetal blödning till moderns cirkulation
p505,Fetal blodförlust från tvillings avskurna navelsträng
p508,Annan specificerad fetal blodförlust
p509,"Fetal blodförlust, ospecificerad"
p51,Navelblödning hos nyfödd
p510,Massiv navelblödning hos nyfödd
p518,Andra navelblödningar hos nyfödd
p519,Icke specificerad navelblödning hos nyfödd
p52,"Intrakraniell, icke traumatisk blödning hos foster och nyfödd"
p520,"Intraventrikulär, icke traumatisk blödning grad 1 hos foster och nyfödd"
p521,"Intraventrikulär, icke traumatisk blödning grad 2 hos foster och nyfödd"
p522,"Intraventrikulär, icke traumatisk blödning grad 3 hos foster och nyfödd"
p523,"Icke specificerad intraventrikulär, icke traumatisk blödning hos foster och nyfödd"
p524,"Intracerebral, icke traumatisk blödning hos foster och nyfödd"
